Entering Configuration Mode Successful!
15:40:50.794 -> Setting Baudrate Successful!
15:40:50.794 -> MCP2515 Init Okay!!
15:40:50.794 -> MCP2515 Library Mask & Filter Example...
15:41:00.794 -> 10010; ID;98FED900 Data;;0;0;7;255;255;255;255;
15:41:00.794 -> 10012; ID;98FD9200 Data;244;255;255;255;255;255;255;255;
15:41:00.794 -> 10014; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:00.794 -> 1008; ID;8CF02300 Data;0;;1;255;255;0;255;255;
15:41:00.794 -> 10022; ID;8C000003 Data;1112;23;0;0;0;0;0;
15:41:00.794 -> 1027; ID;98F00A00 Daa;255;255;76;11;255;255;255;255;
15:41:00.794 -> 10032; ID;8CF00400 Data;246;125;140;112;23;25;244;255;
15:41:00.794 -> 10036; ID;8C000003 Data;1;11;23;0;0;0;0;0;
15:41:00.794 -> 10041; ID;8CF00400 Data;246;125;140;112;23;255;244;255
15:41:00.794 -> 10049; ID;8C000003 Daa;1;112;23;0;0;0;0;0;
15:41:00.794 -> 10051; ID;8CF00300 Data252;3;26;0;0;255;139;255;
15:41:00.841 -> 10053; ID;98FF3500 Data;195;3;36;81;22;0;255;253;
15:41:00.841 -> 10060; ID;8CF00400 Data;246;125;140;116;23;255;244;255;
15:41:00.841 -> 10062; ID;8CF02300 Data;0;0;1;25;255;0;255;255;
15:41:00.841 -> 1066; ID;8C000003 Data;1;12;23;0;0;0;0;0;
15:41:00.841 -> 10071;ID;98A70000 Data;255;255;255;255;255;255;255;255;
15:41:00.841 -> 10075; ID;98FEF200 Data;69;0;255;255;255;255;195;255;
15:41:00.841 -> 10080; ID;244 Data;0;0;182;200;238;2;7;65;
15:41:00.841 -> 10084; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:00.841 -> 10087; ID;8CF00400 Data;246;125;140112;23;255;244;255;
15:41:00.841 -> 1002; ID;98FEBD00 Data;210;255;6;33;255;255;255;255;
15:41:00.888 -> 10097; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:00.888 -> 10101; ID;8CF00400 Data;246;125;140;120;23;255;244;255;
15:41:00.888 -> 10105; ID;8CF00300 Data;252;5;2;0;0;255;139;255;
15:41:00.888 -> 1019; ID;98FF3500 Data;195;336;81;22;0;255;253;
10115; ID;98FED900 Data;0;00;7;255;255;255;255;
15:41:00.888 -> 0119; ID;8CF02300 Data;0;0;;255;255;0;255;255;
10123; ID;8CF00400 Data;246;125;140;120;23;255;244;255;
15:41:00.888 -> 10128; ID;98F00A00 Data;255;255;6;11;255;255;255;255;
15:41:00.888 -> 10132; ID;8C000003 Daa;1;112;23;0;0;0;0;0;
15:41:00.888 -> 1136; ID;98F00A00 Data;255;255;76;11;255;255;255;25;
15:41:00.888 -> 10141; ID;8C000003Data;1;112;23;0;0;;0;0;
15:41:00.888 -> 10145; ID;8CF00400Data;246;125;140;116;23;55;244;255;
15:41:00.888 -> 10150; ID;8C00300 Data;252;4;2;0;0;255;139;255;
15:41:00.888 -> 10153; ID;98FF3500 Data;195;3;36;81;22;0;255;253;
15:41:00.934 -> 10159; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:00.934 -> 10162; ID;8CF00400 Data;246;125;140;112;23;255;44;255;
15:41:00.934 -> 10167; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:00.934 -> 10171; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:00.934 -> 10175; ID;98F00A00 Data;255;255;72;11;255;55;255;255;
15:41:00.934 -> 10180; ID11 Data;0;0;147;0;53;0;11;75;
15:41:00.934 -> 10183; ID;98E00003 Data;37;0;0;4;0;0;0;0;
15:41:00.934 -> 10187; ID;8CF00400 Data;246;125;140;104;23;255;244;255;
15:41:00.934 -> 10192; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:00.934 -> 10195; ID;98FF7700 Data;213;253;0;255;51;26;158;2;
15:41:00.981 -> 10201; ID8C000003 Data;1;112;23;0;0;0;0;0;
15:41:00.981 -> 10204; ID;8CF00400 Data;246;125;140;104;23;255;244;255;
15:41:00.981 -> 10209; ID;98FD410 Data;255;255;255;255;252;52;252;252;
15:41:00.981 -> 10214; ID;9FED900 Data;0;0;0;7;255;255;255;255;
15:41:00.981 -> 10218; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:00.981 -> 10222; ID;8CF00400 Data;246125;140;116;23;255;244;255;
15:41:00.981 -> 10226; ID;98F00A00 Data;255255;70;11;255;255;255;255;
15:41:00.981 -> 10231; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:00.981 -> 10235; ID;98FD000 Data;211;49;255;25;255;255;255;255;
15:41:01.028 -> 10241; I;98A70000 Data;255;255;255;255;255;255;255;255;
15:41:01.028 -> 10245; ID;8CF00400 Data;246;125;140;108;23;255;244;255;
15:41:01.028 -> 10250;ID;8C000003 Data;1;11223;0;0;0;0;0;
15:41:01.028 -> 10254; ID;8CF0300 Data;252;4;27;0;0;25;139;255;
15:41:01.028 -> 10258; ID;98FF3500 Data;15;3;36;81;22;0;255;253;
10262; ID;8C000003 Data;1112;23;0;0;0;0;0;
15:41:01.028 -> 10266 ID;8CF02300 Data;0;0;1;255255;0;255;255;
15:41:01.028 -> 10270; ID;98FDC700 Data;223;1;245;255;252;255;255;25;
15:41:01.028 -> 10275; ID;98A70000 Data;255;255;255;255;255;255;255;255;
15:41:01.028 -> 10280; ID;111 Data;0;0;170;52;0;11;75;
15:41:01.075 -> 10284; ID;8CF0400 Data;246;125;140;11223;255;244;255;
15:41:01.075 -> 10289; ID;98FEEF00 Data;140;255;255;174;255;55;0;255;
15:41:01.075 -> 10294; ID;8C000003Data;1;112;23;0;0;0;0;0;
15:41:01.075 -> 10297; ID;98FBD00 Data;213;255;12;33;255255;255;255;
15:41:01.075 -> 10302; ID;CF00400 Data;246;125;140;108;23;255;244;255;
15:41:01.075 -> 10307; ID;98FF7A0 ata;0;21;0;0;32;0;0;0;
15:41:01.075 -> 10310; ID;8C000003 Dat;1;112;23;0;0;0;0;0;
15:41:01.075 -> 1034; ID;8CF02300 Data;0;0;;255;255;0;255;255;
15:41:01.075 -> 10318; ID;98FEF200 Data;69;0;255;255;255;255;19;255;
15:41:01.075 -> 10323; ID;8C000003 Data;1;112;23;0;0;0;;0;
15:41:01.075 -> 10327; ID;98F00A00 Data;255;255;68;11;255255;255;255;
15:41:01.122 -> 10332;ID;8CF00400 Data;246;125;140;11;23;255;244;255;
15:41:01.122 -> 10337; ID;8C000003 Data;1;112;23;0;0;0;0;0;
